TITLE,Sucrose_0.05M
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,1
DATE,21/01/25
TIME,13:01:17
SPECTROMETER/DATA SYSTEM,
LOCALE,16393
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX, 2700.0000
LASTX,  200.0000
NPOINTS,   12501
FIRSTY,     0.80755
MAXY,    10.00000
MINY,    -4.83885
XYDATA
2616.6001,10
2616.3999,10
2616.2000,0
2616.0000,0
2615.8000,0
2615.6001,10
2615.3999,10
2615.2000,10
2615.0000,0
2614.8000,10
2614.6001,10
2614.3999,0
2614.2000,10
2614.0000,-0.640544
2613.8000,0
2613.6001,1.25645
2613.3999,10
2613.2000,-0.463644
2613.0000,10
2612.8000,-2.45214
2612.6001,10
2612.3999,-0.351997
2612.2000,10
2612.0000,10
2611.8000,-0.165485
2611.6001,10
2611.3999,0
2611.2000,10
2611.0000,10
2610.8000,-2.44312
2610.6001,10
2610.3999,10
2610.2000,10
2610.0000,10
2609.8000,10
2609.6001,0.414892
2609.3999,-0.524866
2609.2000,2.00481
2609.0000,10
2608.8000,10
2608.6001,10
2608.3999,-3.37107
2608.2000,0
2608.0000,10
2607.8000,10
2607.6001,0
2607.3999,0
2607.2000,0
2607.0000,10
2606.8000,0.175836
2606.6001,-2.35535
2606.3999,0.508043
2606.2000,10
2606.0000,10
2605.8000,10
2605.6001,10
2605.3999,-1.77168
2605.2000,0
2605.0000,10
2604.8000,10
2604.6001,0.363764
2604.3999,10
2604.2000,0
2604.0000,10
2603.8000,-0.566041
2603.6001,10
2603.3999,10
2603.2000,0
2603.0000,10
2602.8000,2.26068
2602.6001,-1.28813
2602.3999,-0.165141
2602.2000,10
2602.0000,10
2601.8000,10
2601.6001,10
2601.3999,10
2601.2000,10
2601.0000,10
2600.8000,0.320646
2600.6001,-0.650731
2600.3999,10
2600.2000,10
2600.0000,-2.46825
2599.8000,0.935243
2599.6001,10
2599.3999,10
2599.2000,10
2599.0000,0.839334
2598.8000,10
2598.6001,10
2598.3999,0
2598.2000,-1.56733
2598.0000,0.395967
2597.8000,3.78127
2597.6001,10
2597.3999,1.85827
2597.2000,-1.49932
2597.0000,10
2596.8000,0
2596.6001,-0.857755
2596.3999,0.104729
2596.2000,10
2596.0000,10
2595.8000,10
2595.6001,10
2595.3999,10
2595.2000,10
2595.0000,10
2594.8000,2.95061
2594.6001,10
2594.3999,0
2594.2000,0
2594.0000,0.539168
2593.8000,0
2593.6001,-0.252502
2593.3999,3.1002
2593.2000,-3.30505
2593.0000,10
2592.8000,-2.10108
2592.6001,10
2592.3999,10
2592.2000,10
2592.0000,10
2591.8000,10
2591.6001,10
2591.3999,1.81251
2591.2000,-1.87287
2591.0000,10
2590.8000,0.218457
2590.6001,10
2590.3999,10
2590.2000,10
2590.0000,10
2589.8000,10
2589.6001,-2.3343
2589.3999,10
2589.2000,-0.141338
2589.0000,10
2588.8000,10
2588.6001,0.204734
2588.3999,10
2588.2000,10
2588.0000,10
2587.8000,10
2587.6001,0
2587.3999,10
2587.2000,2.43894
2587.0000,10
2586.8000,10
2586.6001,-1.98857
2586.3999,10
2586.2000,10
2586.0000,10
2585.8000,-3.63363
2585.6001,2.68741
2585.3999,10
2585.2000,10
2585.0000,0
2584.8000,2.25077
2584.6001,2.64141
2584.3999,10
2584.2000,10
2584.0000,3.22839
2583.8000,-2.25263
2583.6001,10
2583.3999,10
2583.2000,-0.176275
2583.0000,-0.987076
2582.8000,10
2582.6001,10
2582.3999,10
2582.2000,0.274194
2582.0000,10
2581.8000,10
2581.6001,0.368622
2581.3999,10
2581.2000,0
2581.0000,10
2580.8000,10
2580.6001,2.44794
2580.3999,10
2580.2000,0.757052
2580.0000,0
2579.8000,-0.267515
2579.6001,10
2579.3999,-0.555181
2579.2000,10
2579.0000,1.63494
2578.8000,10
2578.6001,10
2578.3999,10
2578.2000,3.28343
2578.0000,0
2577.8000,3.12812
2577.6001,-2.19245
2577.3999,0
2577.2000,10
2577.0000,-0.131924
2576.8000,2.43234
2576.6001,10
2576.3999,0
2576.2000,0.647245
2576.0000,-3.76919
2575.8000,0
2575.6001,-2.17914
2575.3999,10
2575.2000,2.09431
2575.0000,-2.19079
2574.8000,10
2574.6001,-0.896196
2574.3999,10
2574.2000,2.32276
2574.0000,0
2573.8000,1.35025
2573.6001,-0.018677
2573.3999,10
2573.2000,10
2573.0000,0
2572.8000,0.836378
2572.6001,0
2572.3999,2.12573
2572.2000,10
2572.0000,10
2571.8000,10
2571.6001,2.83446
2571.3999,2.86745
2571.2000,1.02689
2571.0000,10
2570.8000,10
2570.6001,0
2570.3999,10
2570.2000,0
2570.0000,10
2569.8000,10
2569.6001,10
2569.3999,10
2569.2000,0.995064
2569.0000,-2.92287
2568.8000,-2.05447
2568.6001,0.00436481
2568.3999,0.86732
2568.2000,-1.16279
2568.0000,-0.213428
2567.8000,-0.51029
2567.6001,1.98227
2567.3999,-2.10908
2567.2000,10
2567.0000,10
2566.8000,-0.160959
2566.6001,0
2566.3999,-1.13236
2566.2000,10
2566.0000,0.989537
2565.8000,10
2565.6001,10
2565.3999,10
2565.2000,0
2565.0000,0.329841
2564.8000,10
2564.6001,0
2564.3999,2.08772
2564.2000,0.169751
2564.0000,2.6676
2563.8000,0.190682
2563.6001,1.38486
2563.3999,10
2563.2000,10
2563.0000,10
2562.8000,1.46818
2562.6001,10
2562.3999,10
2562.2000,0
2562.0000,0.52253
2561.8000,10
2561.6001,10
2561.3999,10
2561.2000,10
2561.0000,10
2560.8000,10
2560.6001,10
2560.3999,0
2560.2000,10
2560.0000,10
2559.8000,10
2559.6001,10
