Wavelength(nm),Absorbance
2582.2000,-0.391691
2582.0000,10
2581.8000,10
2581.6001,-0.0156786
2581.3999,-2.71874
2581.2000,0.920819
2581.0000,10
2580.8000,0
2580.6001,0
2580.3999,10
2580.2000,-0.000468579
2580.0000,0
2579.8000,-1.52296
2579.6001,10
2579.3999,-2.39837
2579.2000,2.89591
2579.0000,0
2578.8000,0
2578.6001,2.40266
2578.3999,0
2578.2000,10
2578.0000,0
2577.8000,0.99959
2577.6001,10
2577.3999,0
2577.2000,-0.646582
2577.0000,10
2576.8000,10
2576.6001,10
2576.3999,0
2576.2000,1.07195
2576.0000,10
2575.8000,1.72851
2575.6001,-2.17914
2575.3999,0
2575.2000,0
2575.0000,0.817878
2574.8000,-2.22505
2574.6001,10
2574.3999,10
2574.2000,0
2574.0000,10
2573.8000,1.42368
2573.6001,10
2573.3999,0
2573.2000,10
2573.0000,10
2572.8000,10
2572.6001,10
2572.3999,10
2572.2000,10
2572.0000,10
2571.8000,10
2571.6001,10
2571.3999,0
2571.2000,-1.24046
2571.0000,0.0589378
2570.8000,0.671079
2570.6001,0
2570.3999,0.847998
2570.2000,10
2570.0000,-1.31183
2569.8000,10
2569.6001,10
2569.3999,-1.45406
2569.2000,0.685952
2569.0000,10
2568.8000,10
2568.6001,0
2568.3999,10
2568.2000,0.979799
2568.0000,0.749341
2567.8000,-0.527586
2567.6001,10
2567.3999,-0.442109
2567.2000,10
2567.0000,10
2566.8000,0.277876
2566.6001,0
2566.3999,10
2566.2000,0.969761
2566.0000,0.396009
2565.8000,10
2565.6001,1.62241
2565.3999,10
2565.2000,10
2565.0000,10
2564.8000,-0.129598
2564.6001,10
2564.3999,10
2564.2000,2.68753
2564.0000,2.39893
2563.8000,-0.303189
2563.6001,10
2563.3999,-1.71338
2563.2000,1.29461
2563.0000,0.432082
2562.8000,0.022752
2562.6001,10
2562.3999,10
2562.2000,10
2562.0000,-1.15019
2561.8000,10
2561.6001,10
2561.3999,10
2561.2000,0
2561.0000,-0.0659785
2560.8000,0
2560.6001,0
2560.3999,0
2560.2000,0.410934
2560.0000,0.254465
2559.8000,10
2559.6001,0
2559.3999,10
2559.2000,10
2559.0000,0
2558.8000,10
2558.6001,-1.64946
2558.3999,2.1708
2558.2000,2.61255
2558.0000,10
2557.8000,10
2557.6001,-0.277332
2557.3999,10
2557.2000,10
2557.0000,-1.40917
2556.8000,10
2556.6001,10
2556.3999,10
2556.2000,10
2556.0000,0
2555.8000,2.51729
2555.6001,0
2555.3999,10
2555.2000,10
2555.0000,-2.24629
2554.8000,2.56291
2554.6001,10
2554.3999,10
2554.2000,10
2554.0000,10
2553.8000,0
2553.6001,10
2553.3999,10
2553.2000,10
2553.0000,10
2552.8000,10
2552.6001,1.709
2552.3999,10
2552.2000,10
2552.0000,10
2551.8000,-1.35468
2551.6001,1.87626
2551.3999,10
2551.2000,0.0397332
2551.0000,10
2550.8000,-2.13693
2550.6001,0.504463
2550.3999,0.416774
2550.2000,0
2550.0000,10
2549.8000,-1.55553
2549.6001,0
2549.3999,-0.742044
2549.2000,2.73306
2549.0000,10
2548.8000,10
2548.6001,10
2548.3999,-3.42993
2548.2000,10
2548.0000,10
2547.8000,10
2547.6001,0.735835
2547.3999,0.422694
2547.2000,10
2547.0000,1.5638
2546.8000,0
2546.6001,10
2546.3999,10
2546.2000,10
2546.0000,1.73877
2545.8000,10
2545.6001,2.19802
2545.3999,10
2545.2000,0
2545.0000,10
2544.8000,10
2544.6001,0.266582
2544.3999,10
2544.2000,10
2544.0000,10
2543.8000,10
2543.6001,10
2543.3999,10
2543.2000,10
2543.0000,-2.03355
2542.8000,10
2542.6001,10
2542.3999,10
2542.2000,0
2542.0000,10
2541.8000,10
2541.6001,-0.0600673
2541.3999,0.239158
2541.2000,0.0185013
2541.0000,10
2540.8000,0
2540.6001,10
2540.3999,10
2540.2000,10
2540.0000,0
2539.8000,10
2539.6001,10
2539.3999,-1.77772
2539.2000,-0.58795
2539.0000,-1.76726
2538.8000,10
2538.6001,-1.84785
2538.3999,10
2538.2000,-0.155095
2538.0000,-1.86328
2537.8000,0.721246
2537.6001,10
2537.3999,-0.506834
2537.2000,10
2537.0000,10
2536.8000,2.84139
2536.6001,-2.24559
2536.3999,0
2536.2000,10
2536.0000,0
2535.8000,10
2535.6001,10
2535.3999,10
2535.2000,0.0518922
2535.0000,10
2534.8000,0.932062
2534.6001,10
2534.3999,2.22583
2534.2000,10
2534.0000,-1.34829
2533.8000,10
2533.6001,-0.490069
2533.3999,10
2533.2000,10
2533.0000,10
2532.8000,10
2532.6001,0
2532.3999,0
2532.2000,0
2532.0000,0.437858
2531.8000,10
2531.6001,-0.0112022
2531.3999,3.31093
2531.2000,-2.45908
2531.0000,10
2530.8000,10
2530.6001,10
2530.3999,0.0667905
2530.2000,10
2530.0000,10
2529.8000,10
2529.6001,10
2529.3999,10
2529.2000,10
2529.0000,10
2528.8000,0
2528.6001,2.48166
2528.3999,1.40755
2528.2000,10
2528.0000,10
2527.8000,10
2527.6001,10
2527.3999,10
2527.2000,-0.19382
2527.0000,10
2526.8000,0
2526.6001,10
2526.3999,10
2526.2000,10
2526.0000,10
2525.8000,10
2525.6001,1.31226
2525.3999,10
2525.2000,0
2525.0000,10
2524.8000,10
2524.6001,0
2524.3999,-0.426399
2524.2000,10
2524.0000,-2.55813
2523.8000,0.0168604
2523.6001,10
2523.3999,10
2523.2000,10
2523.0000,-1.45122
2522.8000,3.10008
2522.6001,10
2522.3999,-0.0132283
2522.2000,0.249145
2522.0000,0.454163
2521.8000,0
2521.6001,10
2521.3999,10
2521.2000,2.94877
2521.0000,-3.43172
2520.8000,3.10344
2520.6001,0.337412
2520.3999,0
2520.2000,-2.61174
2520.0000,3.20586
2519.8000,0.379053
2519.6001,0.977688
2519.3999,0
2519.2000,1.82566
2519.0000,1.4419
2518.8000,10
2518.6001,10
2518.3999,10
2518.2000,10
2518.0000,0
2517.8000,10
2517.6001,1.4023
2517.3999,10
2517.2000,-2.83793
2517.0000,0
2516.8000,10
2516.6001,10
2516.3999,10
2516.2000,10
2516.0000,10
2515.8000,0
2515.6001,10
2515.3999,10
2515.2000,10
2515.0000,3.14972
2514.8000,10
2514.6001,10
2514.3999,0.247784
2514.2000,2.94969
2514.0000,-2.48467
2513.8000,0
2513.6001,10
2513.3999,10
2513.2000,10
2513.0000,2.94243
2512.8000,-2.50507
2512.6001,1.20693
2512.3999,-0.687796
2512.2000,0.118473
2512.0000,10
2511.8000,2.08285
2511.6001,10
2511.3999,10
2511.2000,10
2511.0000,10
2510.8000,1.39551
2510.6001,10
2510.3999,10
2510.2000,10
2510.0000,10
2509.8000,10
2509.6001,0
2509.3999,10
2509.2000,10
2509.0000,10
2508.8000,10
2508.6001,0
2508.3999,10
2508.2000,10
2508.0000,10
2507.8000,10
2507.6001,10
2507.3999,10
2507.2000,10
2507.0000,10
2506.8000,-2.4019
2506.6001,10
2506.3999,1.0727
2506.2000,10
2506.0000,0.220462
2505.8000,10
2505.6001,10
2505.3999,10
2505.2000,3.5477
2505.0000,10
2504.8000,0
2504.6001,10
2504.3999,10
2504.2000,10
2504.0000,10
2503.8000,-2.09372
2503.6001,10
2503.3999,10
2503.2000,10
2503.0000,-0.178572
2502.8000,0.0737862
2502.6001,10
2502.3999,0
2502.2000,10
2502.0000,3.56591
2501.8000,3.5464
2501.6001,2.76647
2501.3999,10
2501.2000,10
2501.0000,10
2500.8000,0
2500.6001,10
2500.3999,0.975305
2500.2000,10
2500.0000,0.187399
2499.8000,0
2499.6001,0
2499.3999,10
2499.2000,10
2499.0000,10
2498.8000,10
2498.6001,-1.2585
2498.3999,10
2498.2000,-0.548488
2498.0000,10
2497.8000,10
2497.6001,10
2497.3999,1.55084
2497.2000,-1.29304
2497.0000,10
2496.8000,1.82077
2496.6001,10
2496.3999,10
2496.2000,10
2496.0000,-3.24155
2495.8000,10
2495.6001,0
2495.3999,10
2495.2000,10
2495.0000,10
2494.8000,10
2494.6001,10
2494.3999,10
2494.2000,10
2494.0000,10
2493.8000,10
2493.6001,-0.355194
2493.3999,-0.21842
2493.2000,10
2493.0000,0
2492.8000,10
2492.6001,10
2492.3999,10
2492.2000,10
2492.0000,0.29471
2491.8000,-1.59414
2491.6001,2.54592
2491.3999,0
2491.2000,10
2491.0000,2.23086
2490.8000,10
2490.6001,10
2490.3999,-1.61753
2490.2000,10
2490.0000,10
2489.8000,0
2489.6001,10
2489.3999,10
2489.2000,2.8455
2489.0000,10
2488.8000,0.28519
2488.6001,-0.0271293
2488.3999,10
2488.2000,10
2488.0000,10
2487.8000,10
2487.6001,10
2487.3999,0
2487.2000,-1.65523
2487.0000,10
2486.8000,10
2486.6001,-2.59377
2486.3999,2.53444
2486.2000,0.000678056
2486.0000,2.45615
2485.8000,1.96618
2485.6001,10
2485.3999,0.232151
2485.2000,-0.0268721
2485.0000,-3.45102
2484.8000,1.21806
2484.6001,10
2484.3999,10
2484.2000,-0.00210637
2484.0000,10
2483.8000,3.98065
2483.6001,0
2483.3999,-1.19105
2483.2000,2.65121
2483.0000,0.255267
2482.8000,2.05991
2482.6001,1.76444
2482.3999,10
2482.2000,-0.74025
2482.0000,-1.08517
2481.8000,10
2481.6001,10
2481.3999,-0.260619
2481.2000,10
2481.0000,-0.820854
2480.8000,10
2480.6001,10
2480.3999,0
2480.2000,-1.21261
2480.0000,0
2479.8000,1.99786
2479.6001,0.395493
2479.3999,-1.20428
2479.2000,10
2479.0000,10
2478.8000,-1.33299
2478.6001,0
2478.3999,0
2478.2000,-1.65271
2478.0000,1.12029
2477.8000,10
2477.6001,10
2477.3999,10
2477.2000,10
2477.0000,0
2476.8000,10
2476.6001,-0.525403
2476.3999,10
2476.2000,0.332994
2476.0000,1.12453
2475.8000,-1.64973
2475.6001,10
2475.3999,0
2475.2000,0
2475.0000,10
2474.8000,-1.17521
2474.6001,0
2474.3999,0.0365565
2474.2000,10
2474.0000,10
2473.8000,0
2473.6001,10
2473.3999,10
2473.2000,10
2473.0000,10
2472.8000,0.956032
2472.6001,10
2472.3999,2.17011
2472.2000,10
2472.0000,0.0256795
2471.8000,0
2471.6001,0.823705
2471.3999,10
2471.2000,0
2471.0000,0
2470.8000,10
2470.6001,-2.15715
2470.3999,-1.02036
2470.2000,0
2470.0000,10
2469.8000,10
2469.6001,-2.05934
2469.3999,0
2469.2000,10
2469.0000,10
2468.8000,-0.379959
2468.6001,-4.20504
2468.3999,10
2468.2000,10
2468.0000,10
2467.8000,2.52545
2467.6001,-1.29074
2467.3999,2.92524
2467.2000,10
2467.0000,0
2466.8000,10
2466.6001,-2.6752
2466.3999,10
2466.2000,10
2466.0000,10
2465.8000,10
2465.6001,10
2465.3999,3.16418
2465.2000,-1.04147
2465.0000,-2.17042
2464.8000,10
2464.6001,-0.342059
2464.3999,-0.381522
2464.2000,10
2464.0000,0
2463.8000,10
2463.6001,10
2463.3999,10
2463.2000,3.50325
2463.0000,0
2462.8000,1.17478
2462.6001,-0.108665
2462.3999,-2.35073
2462.2000,0.0798437
2462.0000,0.14113
2461.8000,0.470241
2461.6001,2.08727
2461.3999,-2.34442
2461.2000,10
2461.0000,10
2460.8000,10
2460.6001,-1.42194
2460.3999,2.14866
2460.2000,10
